elemID,permission,layout_width,layout_height,textColor,text,textSize,src_image_text,background_image_text
login_forget,ACCESS_FINE_LOCATION,,,,,,,
login_forget,ACCESS_NETWORK_STATE,,,,,,,
login_forget,ACCESS_WIFI_STATE,,,,,,,
login_forget,READ_PHONE_STATE,,,,,,,
login_forget,ACCESS_NETWORK_STATE,,,,,,,
login_forget,READ_PHONE_STATE,,,,,,,
login_forget,INTERNET,,,,,,,
login_forget,ACCESS_FINE_LOCATION,,,,,,,
login_forget,ACCESS_COARSE_LOCATION,,,,,,,
login_forget,ACCESS_FINE_LOCATION,,,,,,,
login_forget,ACCESS_NETWORK_STATE,,,,,,,
login_forget,ACCESS_WIFI_STATE,,,,,,,
login_forget,READ_PHONE_STATE,,,,,,,
login_forget,INTERNET,,,,,,,
text_tip_num,GET_TASKS,wrap_content,wrap_content,@android:color/white,3,15.0sp,,
text_tip_num,VIBRATE,wrap_content,wrap_content,@android:color/white,3,15.0sp,,
text_tip_num,WAKE_LOCK,wrap_content,wrap_content,@android:color/white,3,15.0sp,,
text_tip_num,ACCESS_NETWORK_STATE,wrap_content,wrap_content,@android:color/white,3,15.0sp,,
text_tip_num,ACCESS_WIFI_STATE,wrap_content,wrap_content,@android:color/white,3,15.0sp,,
text_tip_num,WAKE_LOCK,wrap_content,wrap_content,@android:color/white,3,15.0sp,,
text_tip_num,ACCESS_FINE_LOCATION,wrap_content,wrap_content,@android:color/white,3,15.0sp,,
text_tip_num,READ_PHONE_STATE,wrap_content,wrap_content,@android:color/white,3,15.0sp,,
text_tip_num,ACCESS_NETWORK_STATE,wrap_content,wrap_content,@android:color/white,3,15.0sp,,
text_tip_num,INTERNET,wrap_content,wrap_content,@android:color/white,3,15.0sp,,
about_back,WAKE_LOCK,wrap_content,wrap_content,,,,,
imoney,VIBRATE,wrap_content,wrap_content,,,,,
imoney,ACCESS_FINE_LOCATION,wrap_content,wrap_content,,,,,
imoney,WAKE_LOCK,wrap_content,wrap_content,,,,,
imoney,ACCESS_NETWORK_STATE,wrap_content,wrap_content,,,,,
imoney,READ_PHONE_STATE,wrap_content,wrap_content,,,,,
imoney,ACCESS_NETWORK_STATE,wrap_content,wrap_content,,,,,
imoney,INTERNET,wrap_content,wrap_content,,,,,
cd,VIBRATE,fill_parent,wrap_content,,,,,
cd,ACCESS_FINE_LOCATION,fill_parent,wrap_content,,,,,
cd,WAKE_LOCK,fill_parent,wrap_content,,,,,
cd,ACCESS_NETWORK_STATE,fill_parent,wrap_content,,,,,
